City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,qaanaaq,77.484,-69.3632,-30.57,83,29,2.84,GL,1673305084
1,binzhou,37.3667,118.0167,-1.81,66,100,2.72,CN,1673304930
2,ushuaia,-54.8,-68.3,10.81,62,40,10.8,AR,1673305085
3,oume,35.7839,139.2431,4.92,41,12,5.06,JP,1673305086
4,klaksvik,62.2266,-6.589,5.51,77,73,11.92,FO,1673305087
5,bedford,52.1346,-0.4663,5.07,81,79,6.25,GB,1673305087
6,thunder bay,48.4001,-89.3168,-5.01,74,100,2.57,CA,1673305088
7,mulhouse,47.6667,7.4167,6.62,84,75,6.17,FR,1673305089
8,vaini,-21.2,-175.2,31.09,79,75,5.66,TO,1673305090
9,talnakh,69.4865,88.3972,-42.11,90,37,0.62,RU,1673304979
10,cape town,-33.9258,18.4232,19.23,88,20,2.06,ZA,1673305084
11,butaritari,3.0707,172.7902,27.48,69,100,6.91,KI,1673305092
12,zhoucheng,35.9122,116.3117,-0.27,38,85,1.41,CN,1673305093
13,kapaa,22.0752,-159.319,27.29,62,0,1.79,US,1673305094
14,ponta do sol,32.6667,-17.1,19.28,83,53,1.49,PT,1673305095
15,mataura,-46.1927,168.8643,23.54,45,100,0.79,NZ,1673305095
16,cidreira,-30.1811,-50.2056,22.55,78,94,7.61,BR,1673305096
17,houston,29.7633,-95.3633,21.34,61,0,5.66,US,1673304870
18,nikolskoye,59.7035,30.7861,-9.06,81,100,6.12,RU,1673305097
19,le port,-20.9373,55.2919,25.0,65,1,2.57,RE,1673305099
20,atuona,-9.8,-139.0333,25.86,77,10,6.95,PF,1673305099
21,aykhal,66.0,111.5,-41.89,97,100,2.6,RU,1673305100
22,hermanus,-34.4187,19.2345,20.45,91,5,1.57,ZA,1673305101
23,haines junction,60.7522,-137.5108,-4.46,95,100,0.46,CA,1673305102
24,punta arenas,-53.15,-70.9167,13.06,50,40,12.86,CL,1673305103
25,casablanca,33.5928,-7.6192,16.85,82,6,1.79,MA,1673305104
26,port elizabeth,-33.918,25.5701,23.51,92,100,4.12,ZA,1673305104
27,fallbrook,33.3764,-117.2512,20.66,59,100,4.63,US,1673305105
28,ahuimanu,21.4447,-157.8378,27.56,63,0,1.79,US,1673305106
29,uppsala,60.0,17.75,1.69,100,100,5.14,SE,1673305107
30,jamestown,42.097,-79.2353,1.12,47,6,3.13,US,1673305107
31,artyom,40.4723,50.333,1.08,54,97,2.96,AZ,1673305108
32,joshimath,30.5667,79.5667,8.61,49,100,2.61,IN,1673305109
33,rikitea,-23.1203,-134.9692,25.88,76,5,7.68,PF,1673305111
34,shubarshi,48.5872,57.1869,-23.88,87,7,3.95,KZ,1673305111
35,bereda,43.2686,-7.5406,4.83,96,50,1.89,ES,1673305112
36,walvis bay,-22.9575,14.5053,19.49,82,47,1.03,NA,1673305113
37,soanierana ivongo,-16.9167,49.5833,24.64,86,61,0.58,MG,1673304962
38,hilo,19.7297,-155.09,32.38,78,0,3.58,US,1673305114
39,piopio,-38.4667,175.0167,17.83,79,100,3.65,NZ,1673305115
40,redmond,47.674,-122.1215,10.37,86,99,4.02,US,1673305116
41,saldanha,-33.0117,17.9442,17.03,94,0,2.91,ZA,1673305116
42,new norfolk,-42.7826,147.0587,16.07,51,69,0.64,AU,1673305117
43,saint-philippe,-21.3585,55.7679,24.77,79,25,3.56,RE,1673305118
44,cherskiy,68.75,161.3,-30.14,98,100,1.04,RU,1673305119
45,korla,41.7597,86.1469,-3.45,45,12,1.38,CN,1673305119
46,ornskoldsvik,63.2909,18.7153,-0.47,100,100,5.14,SE,1673305120
47,dano,11.15,-3.0667,25.61,20,94,3.36,BF,1673305121
48,hudson bay,52.85,-102.3842,-7.8,98,100,2.14,CA,1673305122
49,padang,-0.9492,100.3543,24.03,86,99,1.55,ID,1673304917
50,berdigestyakh,62.0989,126.6992,-29.71,99,100,3.54,RU,1673305123
51,clyde river,70.4692,-68.5914,-27.87,69,20,3.6,CA,1673305124
52,floro,61.5996,5.0328,6.98,76,100,8.75,NO,1673305124
53,porto novo,6.4965,2.6036,25.29,87,19,1.88,BJ,1673304828
54,broken hill,-31.95,141.4333,29.62,20,74,6.27,AU,1673305126
55,hasaki,35.7333,140.8333,5.22,43,83,10.4,JP,1673304846
56,albany,42.6001,-73.9662,0.29,75,7,2.76,US,1673305127
57,kermanshah,34.3142,47.065,1.2,86,94,1.42,IR,1673305128
58,manta,-0.95,-80.7333,26.88,74,20,5.14,EC,1673305129
59,tasiilaq,65.6145,-37.6368,-14.18,58,46,2.38,GL,1673305129
60,anadyr,64.75,177.4833,-12.72,85,75,7.0,RU,1673305130
61,dikson,73.5069,80.5464,-39.17,99,61,2.97,RU,1673305131
62,busselton,-33.65,115.3333,19.33,79,94,3.27,AU,1673305132
63,kodiak,57.79,-152.4072,3.95,91,98,10.1,US,1673305132
64,mar del plata,-38.0023,-57.5575,22.13,82,0,10.73,AR,1673305133
65,half moon bay,37.4636,-122.4286,15.73,79,0,2.06,US,1673305134
66,avarua,-21.2078,-159.775,28.03,83,100,4.12,CK,1673305135
67,vodnyy,63.5046,53.4095,-24.08,85,49,3.3,RU,1673305135
68,port alfred,-33.5906,26.891,22.32,94,49,0.45,ZA,1673305075
69,grand gaube,-20.0064,57.6608,25.22,79,14,1.34,MU,1673305137
70,guerrero negro,27.9769,-114.0611,18.73,50,22,5.46,MX,1673305137
71,aklavik,68.2191,-135.0107,-26.5,96,80,2.11,CA,1673305139
72,shenjiamen,29.9576,122.298,9.78,74,68,5.68,CN,1673305140
73,kamenka,51.3223,42.7678,-18.47,89,5,3.64,RU,1673305141
74,obo,5.3998,26.4869,22.12,31,93,1.66,CF,1673305142
75,tuy hoa,13.0833,109.3,22.34,94,98,3.53,VN,1673304674
76,kaitangata,-46.2817,169.8464,20.02,57,90,2.23,NZ,1673305144
77,yumen,40.2833,97.2,-5.05,43,99,9.08,CN,1673305144
78,lakes entrance,-37.8811,147.981,21.2,72,10,1.32,AU,1673305145
79,tigil,57.8,158.6667,-28.45,100,100,1.63,RU,1673305146
80,mwense,-10.3845,28.698,17.92,97,92,0.67,ZM,1673305147
81,lamar,33.6668,-95.5836,17.77,50,2,3.83,US,1673305147
82,at-bashi,41.1702,75.8106,-13.62,79,70,1.2,KG,1673305149
83,avera,33.194,-82.5271,13.03,66,0,1.64,US,1673305149
84,norman wells,65.282,-126.8329,-16.98,85,100,1.54,CA,1673305151
85,ambilobe,-13.2,49.05,22.88,94,41,1.28,MG,1673305152
86,juneau,58.3019,-134.4197,1.72,100,12,2.84,US,1673305153
87,fort nelson,58.8053,-122.7002,-16.23,89,100,0.0,CA,1673305154
88,sadovoye,47.7764,44.5089,-15.69,87,6,4.18,RU,1673305154
89,tuktoyaktuk,69.4541,-133.0374,-26.0,76,20,6.69,CA,1673305155
90,verkhoyansk,67.5447,133.385,-45.2,100,100,0.1,RU,1673305156
91,nagornskiy,58.7731,57.5451,-34.04,100,90,1.73,RU,1673305157
92,ilulissat,69.2167,-51.1,-22.22,88,99,1.82,GL,1673305159
93,bac lieu,9.285,105.7244,24.43,91,100,4.4,VN,1673305094
94,pangnirtung,66.1451,-65.7125,-30.0,69,0,1.54,CA,1673305161
95,annonay,45.2397,4.6708,5.23,73,58,6.32,FR,1673305161
96,bilibino,68.0546,166.4372,-20.3,95,100,1.17,RU,1673305162
97,soavinandriana,-19.1667,46.7333,15.93,95,100,0.65,MG,1673305163
98,lagoa,39.05,-27.9833,17.17,84,100,14.07,PT,1673305164
99,khatanga,71.9667,102.5,-41.67,100,100,1.76,RU,1673305164
100,tabou,4.423,-7.3528,26.18,85,20,3.25,CI,1673305165
101,bathsheba,13.2167,-59.5167,26.34,73,40,8.75,BB,1673305166
102,loviisa,60.4566,26.2251,-4.28,94,100,7.87,FI,1673305167
103,fernandopolis,-20.2839,-50.2464,21.6,91,100,2.55,BR,1673305168
104,arraial do cabo,-22.9661,-42.0278,23.98,94,75,1.54,BR,1673305168
105,clearwater,27.9659,-82.8001,21.17,83,0,5.36,US,1673305169
106,valera,9.3178,-70.6036,22.48,95,84,1.07,VE,1673305170
107,tiksi,71.6872,128.8694,-28.06,99,100,2.63,RU,1673305171
108,chester,40.1254,-75.8749,3.45,69,3,1.79,US,1673305172
109,bluff,-46.6,168.3333,17.23,79,100,2.18,NZ,1673305172
110,nogales,31.3086,-110.9422,20.8,19,7,3.54,MX,1673305173
111,ancud,-41.8697,-73.8203,12.16,91,100,1.76,CL,1673305174
112,souris,49.6172,-100.2612,-2.92,93,99,2.28,CA,1673305175
113,gorom-gorom,14.4439,-0.2361,22.9,19,100,5.18,BF,1673305175
114,port keats,-14.25,129.55,28.58,79,27,4.54,AU,1673305176
115,zemio,5.0314,25.1361,25.1,31,61,1.04,CF,1673305177
116,hofn,64.2539,-15.2082,2.14,66,90,8.26,IS,1673305178
117,palu,-0.8917,119.8707,23.7,89,100,1.08,ID,1673305179
118,along,28.1667,94.7667,8.25,70,0,0.73,IN,1673305180
119,kasongo-lunda,-6.4667,16.8167,19.94,94,36,0.45,CD,1673305181
120,chuy,-33.6971,-53.4616,21.14,79,9,6.31,UY,1673305181
121,qiongshan,20.0058,110.3542,18.99,100,100,4.0,CN,1673305182
122,nantai,40.9241,122.8044,-6.4,36,0,2.48,CN,1673305183
123,kangasala,61.4638,24.076,-4.85,100,100,4.77,FI,1673305184
124,geraldton,-28.7667,114.6,21.23,88,40,4.63,AU,1673304944
125,sarka ghat,31.7,76.7333,9.62,48,100,1.23,IN,1673305185
126,roma,43.2128,-75.4557,1.16,82,60,3.37,US,1673305186
127,yellowknife,62.456,-114.3525,-11.71,92,100,1.03,CA,1673305187
128,mecca,21.4267,39.8261,18.89,68,72,4.82,SA,1673304949
129,quedlinburg,51.7833,11.15,5.51,81,90,4.55,DE,1673305188
130,lebu,-37.6167,-73.65,16.35,88,100,5.37,CL,1673305188
131,kuytun,54.3419,101.5036,-9.41,95,100,1.13,RU,1673305189
132,moose factory,51.2585,-80.6094,-14.0,85,40,3.09,CA,1673305190
133,pokhara,28.2333,83.9833,12.03,24,58,2.58,NP,1673305113
134,opuwo,-18.0607,13.84,22.05,40,95,2.5,NA,1673305191
135,hobart,-42.8794,147.3294,16.26,73,75,2.57,AU,1673304960
136,beidao,34.5686,105.8933,2.76,75,0,1.81,CN,1673305192
137,jiamusi,46.8333,130.35,-16.14,92,97,3.67,CN,1673305193
138,sistranda,63.7256,8.834,5.98,75,100,3.9,NO,1673305194
139,hobyo,5.3505,48.5268,25.15,79,81,7.1,SO,1673305195
140,ribeira grande,38.5167,-28.7,18.21,91,100,15.2,PT,1673305196
141,kundiawa,-6.0167,144.9667,19.26,90,100,0.44,PG,1673305197
142,frontera,26.9333,-101.45,24.62,40,32,1.79,MX,1673305197
143,roebourne,-20.7833,117.1333,27.02,71,0,4.95,AU,1673305198
144,apostolove,47.66,33.7137,-3.56,67,44,7.77,UA,1673305199
145,galle,6.0367,80.217,24.09,84,31,0.92,LK,1673305085
146,kralendijk,12.15,-68.2667,26.08,82,7,8.37,BQ,1673305200
147,banda aceh,5.5577,95.3222,24.0,79,85,1.53,ID,1673305201
148,rocha,-34.4833,-54.3333,20.47,77,8,4.97,UY,1673305202
149,lander,42.833,-108.7307,5.33,88,95,0.38,US,1673305203
150,samdrup jongkhar,26.9167,91.6167,10.74,53,0,2.11,BT,1673305204
151,luderitz,-26.6481,15.1594,17.83,84,4,2.67,NA,1673304964
152,provideniya,64.3833,-173.3,-15.91,72,0,9.0,RU,1673305208
153,severo-kurilsk,50.6789,156.125,-4.6,68,83,3.79,RU,1673305209
154,santa isabel do rio negro,-0.4139,-65.0192,24.38,91,50,1.22,BR,1673305211
155,hithadhoo,-0.6,73.0833,26.73,78,100,4.38,MV,1673305212
156,kwekwe,-18.9281,29.8149,18.74,94,94,2.48,ZW,1673304989
157,necochea,-38.5473,-58.7368,22.25,62,2,9.55,AR,1673305214
158,saskylakh,71.9167,114.0833,-35.9,98,100,0.94,RU,1673305216
159,nelson bay,-32.7167,152.15,23.94,76,13,1.79,AU,1673305217
160,amuntai,-2.4177,115.2494,22.94,98,100,0.17,ID,1673305218
161,naze,28.3667,129.4833,16.51,63,58,5.8,JP,1673305219
162,dunedin,-45.8742,170.5036,15.45,95,45,4.3,NZ,1673305042
163,yarkovo,57.4028,67.0786,-29.0,99,61,2.22,RU,1673305221
164,khartoum,15.5518,32.5324,18.9,31,92,0.45,SD,1673305222
165,chiredzi,-21.05,31.6667,20.87,52,11,0.44,ZW,1673305223
166,ulagan,50.6321,87.9563,-7.76,94,100,1.26,RU,1673305224
167,knysna,-34.0363,23.0471,20.29,87,20,1.56,ZA,1673305226
168,rawson,-43.3002,-65.1023,21.08,69,97,8.44,AR,1673305227
169,oktyabrskiy,54.4815,53.471,-33.55,97,39,1.15,RU,1673305228
170,spirit river,55.7833,-118.8361,-8.19,98,100,1.25,CA,1673305229
171,parabel,58.6978,81.4825,-25.92,95,100,5.01,RU,1673305230
172,katsuura,35.1333,140.3,7.01,44,51,10.91,JP,1673305220
173,dingle,10.9995,122.6711,22.87,96,100,4.26,PH,1673305232
174,takoradi,4.8845,-1.7554,26.56,84,14,2.57,GH,1673305207
175,bairiki,1.3292,172.9752,27.01,70,20,7.07,KI,1673305234
176,lavrentiya,65.5833,-171.0,-21.6,88,4,3.64,RU,1673305235
177,chake chake,-5.2459,39.7666,24.67,90,10,2.82,TZ,1673305235
178,muzhi,65.3667,64.6667,-22.66,97,100,2.03,RU,1673305237
179,salinas,36.6777,-121.6555,14.76,88,100,1.79,US,1673305238
180,rancho palos verdes,33.7445,-118.387,15.72,95,100,5.36,US,1673305238
181,ostrovnoy,68.0531,39.5131,-10.11,86,100,17.51,RU,1673305239
182,mahebourg,-20.4081,57.7,24.03,79,45,5.61,MU,1673305240
183,hirara,24.8,125.2833,21.05,67,39,7.4,JP,1673305214
184,yerkoy,39.6381,34.4672,-0.06,52,6,1.44,TR,1673305241
185,turka,49.1541,23.0297,2.11,95,100,1.79,UA,1673305242
186,gushikawa,26.3544,127.8686,18.57,87,82,4.51,JP,1673305243
187,palmer,42.1584,-72.3287,0.9,69,21,0.45,US,1673305244
188,waddan,29.1614,16.139,12.29,55,0,2.7,LY,1673305245
189,vienna,48.2085,16.3721,7.71,82,75,6.69,AT,1673305015
190,tortosa,40.8125,0.5216,12.91,60,67,6.07,ES,1673305247
191,ambunti,-4.2365,142.8448,25.63,89,99,0.52,PG,1673305248
192,bredasdorp,-34.5322,20.0403,20.15,84,3,1.65,ZA,1673305249
193,shieli,44.1667,66.75,-6.12,42,100,3.41,KZ,1673305250
194,roros,62.5747,11.3842,-0.09,86,100,2.06,NO,1673305202
195,udachnyy,66.4167,112.4,-48.64,70,99,1.86,RU,1673305252
196,teknaf,20.8624,92.3058,17.79,77,0,2.9,BD,1673305253
197,mount isa,-20.7333,139.5,26.87,69,100,2.57,AU,1673305255
198,fortuna,40.5982,-124.1573,15.55,68,0,4.63,US,1673305256
199,shingu,33.7333,135.9833,4.14,63,6,3.52,JP,1673305174
200,kango,0.1943,10.0951,23.67,95,91,0.88,GA,1673305257
201,constitucion,-35.3333,-72.4167,17.46,81,22,5.02,CL,1673305258
202,puerto ayora,-0.7393,-90.3518,24.75,86,17,1.34,EC,1673305259
203,georgetown,5.4112,100.3354,25.96,83,20,0.0,MY,1673305260
204,whitehorse,60.7161,-135.0538,-2.73,96,100,0.72,CA,1673305261
205,yarada,17.65,83.2667,20.63,67,0,2.09,IN,1673305262
206,la ronge,55.1001,-105.2842,-12.7,98,99,1.49,CA,1673305263
207,bengkulu,-3.8004,102.2655,23.23,89,49,1.32,ID,1673305248
208,durango,24.8333,-104.8333,19.3,14,6,2.34,MX,1673305264
209,farah,32.5,62.5,10.77,51,100,1.71,AF,1673305266
210,the valley,18.217,-63.0578,25.61,73,2,8.18,AI,1673305267
211,mhasla,18.1333,73.1167,18.95,41,0,2.02,IN,1673305267
212,baiyin,36.5583,104.2081,-2.2,26,64,0.61,CN,1673305268
213,oranjemund,-28.55,16.4333,16.84,92,0,1.61,NA,1673305218
214,sorland,67.667,12.6934,4.92,70,67,8.51,NO,1673305270
215,victoria,22.2855,114.1577,19.41,91,100,4.02,HK,1673305101
216,barra da estiva,-13.6261,-41.3269,18.72,90,96,1.03,BR,1673305272
217,guanare,9.0418,-69.7421,34.01,49,61,2.06,VE,1673305274
218,marawi,7.9986,124.2928,20.3,98,100,0.84,PH,1673305275
219,tupik,54.4253,119.9327,-18.8,96,98,1.64,RU,1673305276
220,saint-louis,16.3333,-15.0,24.55,13,100,6.49,SN,1673305277
221,poso,-1.3959,120.7524,28.52,72,100,1.38,ID,1673305144
222,kirakira,-10.4544,161.9205,28.25,77,98,4.61,SB,1673305279
223,wanlaweyn,2.6185,44.8938,24.56,80,96,6.18,SO,1673305280
224,narsaq,60.9167,-46.05,2.12,71,100,4.17,GL,1673305281
225,saint-pierre,-21.3393,55.4781,24.82,69,2,2.57,RE,1673305160
226,barrow,71.2906,-156.7887,-23.99,77,75,4.63,US,1673305283
227,biankouma,7.7391,-7.6138,22.46,23,73,0.86,CI,1673305284
228,plettenberg bay,-34.0527,23.3716,19.92,86,16,2.12,ZA,1673305285
229,chokurdakh,70.6333,147.9167,-40.58,100,52,2.8,RU,1673305286
230,norden,53.6,7.2,5.99,97,70,0.45,DE,1673305287
231,leningradskiy,69.3833,178.4167,-23.76,96,100,4.16,RU,1673305288
232,cabo san lucas,22.8909,-109.9124,26.95,53,0,1.34,MX,1673305290
233,kahului,20.8947,-156.47,27.76,78,0,3.13,US,1673305291
234,husavik,66.0449,-17.3389,1.16,99,100,7.1,IS,1673305292
235,boueni,-12.9025,45.0761,24.99,71,5,1.09,YT,1673305293
236,mount gambier,-37.8333,140.7667,18.22,51,1,3.89,AU,1673305183
237,east london,-33.0153,27.9116,23.81,90,27,4.04,ZA,1673305290
238,padilla,3.2204,-76.3139,23.76,95,98,1.0,CO,1673305295
239,mandurah,-32.55,115.7,27.81,57,45,3.26,AU,1673305220
240,mulchen,-37.7167,-72.2333,24.12,43,88,4.07,CL,1673305296
241,krasnoarmeysk,51.0239,45.6969,-24.58,96,6,2.26,RU,1673305297
242,iqaluit,63.7506,-68.5145,-29.15,76,100,10.8,CA,1673305212
243,carnarvon,-24.8667,113.6333,24.0,70,0,5.62,AU,1673305221
244,slave lake,55.2834,-114.769,-5.81,92,100,1.84,CA,1673305299
245,nador,35.174,-2.9287,18.14,72,0,5.14,MA,1673305300
246,tual,-5.6667,132.75,27.98,66,100,3.03,ID,1673305302
247,saint george,37.1041,-113.5841,9.97,68,100,3.58,US,1673305150
248,rantauprapat,2.1,99.8333,21.85,97,81,0.97,ID,1673305189
249,margate,51.3813,1.3862,4.93,80,39,1.79,GB,1673305305
250,ngama,11.7833,17.1667,19.83,19,22,4.42,TD,1673305306
251,shaunavon,49.6501,-108.4181,-3.22,85,3,4.33,CA,1673305307
252,alofi,-19.0595,-169.9187,26.65,85,100,8.86,NU,1673305307
253,sitka,57.0531,-135.33,4.59,73,14,2.99,US,1673305309
254,komsomolskiy,40.4272,71.7189,5.4,87,75,1.03,UZ,1673305310
255,riyadh,24.6877,46.7219,15.08,80,46,5.54,SA,1673305209
256,igrim,63.1906,64.4162,-20.7,95,97,1.73,RU,1673305311
257,rio grande city,26.3798,-98.8203,23.95,49,79,2.07,US,1673305312
258,bonavista,48.6499,-53.1147,-3.55,64,94,10.39,CA,1673305313
259,asosa,10.0667,34.5333,17.43,37,38,1.92,ET,1673305313
260,cayenne,4.9333,-52.3333,26.02,83,75,3.09,GF,1673305314
261,soubre,5.7856,-6.6083,23.09,92,22,1.15,CI,1673305315
262,piracanjuba,-17.3028,-49.0167,20.33,93,100,1.54,BR,1673305316
263,mayor pablo lagerenza,-19.9309,-60.7718,29.33,46,89,1.83,PY,1673305317
264,vao,-22.6667,167.4833,24.55,67,13,8.63,NC,1673305318
265,matara,5.9485,80.5353,22.59,90,41,2.24,LK,1673305320
266,puerto leguizamo,-0.1934,-74.7819,24.78,82,93,0.86,CO,1673305321
267,san quintin,30.4833,-115.95,17.92,49,86,3.74,MX,1673305322
268,sobolevo,54.4299,31.8996,-6.57,94,100,8.92,RU,1673305323
269,beringovskiy,63.05,179.3167,-6.67,84,100,7.25,RU,1673305326
270,coahuayana,18.7333,-103.6833,28.64,55,2,2.48,MX,1673305327
271,upernavik,72.7868,-56.1549,-26.67,98,100,3.27,GL,1673305328
272,kavaratti,10.5669,72.642,26.95,73,5,4.4,IN,1673305330
273,sabang,5.8933,95.3214,26.2,68,95,1.37,ID,1673305331
274,sarkand,45.41,79.9186,-3.85,90,85,1.52,KZ,1673305333
275,luocheng,29.3848,104.0286,8.52,77,15,0.63,CN,1673305334
276,camopi,3.1655,-52.3158,22.34,99,57,1.14,GF,1673305335
277,meulaboh,4.1363,96.1285,23.08,91,99,1.84,ID,1673305337
278,tateyama,34.9833,139.8667,6.96,53,61,11.84,JP,1673305080
279,pangkalanbuun,-2.6833,111.6167,22.73,96,100,0.95,ID,1673305339
280,vostok,46.4856,135.8833,-26.13,98,63,2.33,RU,1673305340
281,samarai,-10.6167,150.6667,28.11,73,86,2.22,PG,1673305341
282,nzega,-2.479,29.5564,12.36,90,96,1.84,RW,1673305342
283,chumikan,54.7183,135.315,-24.69,87,35,8.18,RU,1673305343
284,esperance,-33.8667,121.9,19.14,67,9,7.09,AU,1673305344
